name;slug;value;date_of_information;ranking;region
"China";"china";"2,217,925,000";"2020";1;"East and Southeast Asia"
"United States";"united-states";"1,143,266,000";"2020";2;"North America"
"India";"india";"432,768,000";"2020";3;"South Asia"
"Japan";"japan";"348,666,000";"2020";4;"East and Southeast Asia"
"Russia";"russia";"276,463,000";"2020";5;"Central Asia"
"Germany";"germany";"248,265,000";"2020";6;"Europe"
"Brazil";"brazil";"195,037,000";"2020";7;"South America"
"Canada";"canada";"153,251,000";"2020";8;"North America"
"France";"france";"138,611,000";"2020";9;"Europe"
"Korea, South";"korea-south";"135,789,000";"2020";10;"East and Southeast Asia"
"Italy";"italy";"121,442,000";"2020";11;"Europe"
"Spain";"spain";"115,837,000";"2020";12;"Europe"
"United Kingdom";"united-kingdom";"113,153,000";"2020";13;"Europe"
"Turkey (Turkiye)";"turkey-turkiye";"96,846,000";"2020";14;"Middle East"
"Mexico";"mexico";"93,430,000";"2020";15;"North America"
"Australia";"australia";"82,517,000";"2020";16;"Australia and Oceania"
"Iran";"iran";"80,553,000";"2020";17;"Middle East"
"Saudi Arabia";"saudi-arabia";"76,785,000";"2020";18;"Middle East"
"Indonesia";"indonesia";"69,065,000";"2020";19;"East and Southeast Asia"
"Vietnam";"vietnam";"65,283,000";"2020";20;"East and Southeast Asia"
"South Africa";"south-africa";"62,728,000";"2020";21;"Africa"
"Egypt";"egypt";"59,826,000";"2020";22;"Africa"
"Taiwan";"taiwan";"57,738,000";"2020";23;"East and Southeast Asia"
"Ukraine";"ukraine";"56,816,000";"2020";24;"Europe"
"Thailand";"thailand";"53,130,000";"2020";25;"East and Southeast Asia"
"Poland";"poland";"47,269,000";"2020";26;"Europe"
"Argentina";"argentina";"44,731,000";"2020";27;"South America"
"Sweden";"sweden";"43,499,000";"2020";28;"Europe"
"Netherlands";"netherlands";"43,409,000";"2020";29;"Europe"
"Pakistan";"pakistan";"39,925,000";"2020";30;"South Asia"
"Norway";"norway";"38,360,000";"2020";31;"Europe"
"United Arab Emirates";"united-arab-emirates";"35,173,000";"2020";32;"Middle East"
"Malaysia";"malaysia";"34,959,000";"2020";33;"East and Southeast Asia"
"Venezuela";"venezuela";"32,956,000";"2020";34;"South America"
